First Name,Last Name,Designation,Company,Country
Eduardo,Ergas,Director,Valle Nevado Hotel,Chile
Ricardo,Lagos,President,Fundacion Democracia y Desarrollo,Chile
Andronico,Luksic,Vice Chairman,Banco de Chile,Chile
Francisco,Pérez Mackenna,Chief Executive Officer,QUIÑENCO S.A.,Chile
Jesse,Seligman,Chief Executive Officer,Copperman,Chile
Abraham,Senerman Lamas,Owner,Valle Nevado Hotel,Chile
Carlo,Solari,Executive Director,Megeve,Chile
E. Francisco,Tomic,"Former Senior Vice President Human Developmen,t  CFO",Codelco,Chile
Suzan,Van Dijk,Financial Director,Unilever Chile,Chile
Karina,von Baer,President,Agro Top,Chile
Luis Enrique,Yarur Rey,"Director; Former Chairman (until Dec 31, 2024)",Bci (Banco de Crédito e Inversiones),Chile
Maria Asuncion,Aramburuzabala,Chief Executive Officer,Tresalia Capital,Mexico
Jose Ignacio,Avalos H.,Chairman,Gente Nueva,Mexico
Alejandro,Baillères Gual,Chairman (President of the Board),Grupo BAL,Mexico
Karen Virginia,Beckmann Legoretta,Board Member,"Becle, S.A.B. de C.V. (José Cuervo)",Mexico
Juan Domingo,Beckmann Legorreta,Chairman & Chief Executive Officer,"Becle, S.A.B. de C.V. (José Cuervo)",Mexico
Herminio,Blanco Mendoza,President,IQOM Inteligencia Comercial,Mexico
David,Buenfil,Director General,Haden Drysys Mexico Limited,Mexico
Fernando,Chico Pardo,Chairman of the Board,Grupo Aeroportuario del Sureste (ASUR),Mexico
Enrique,Coppel Luken,Co-owner; Former CEO (1982–2009),Grupo Coppel,Mexico
Rubén,Coppel Luken,Chairman of the Board,BanCoppel & Afore Coppel (Grupo Coppel),Mexico
Alberto,Coppel Luken,Chairman & Chief Executive Officer,GC1 Holding,Mexico
José,Coppel Luken,Co-owner; Board Member,Grupo Coppel,Mexico
Agustín,Coppel Luken,Chairman of the Board,Grupo Coppel,Mexico
Alienor,d'Arenberg,Founder,A for Owl,Mexico
Julio A.,de Quesada,Director Corporativo,Citibanamex,Mexico
Antonio,Del Valle Ruiz,Honorary Chairman for Life,Kaluz,Mexico
Fernando,Espinosa Abdalá,Former Operational President; Private Investments,Rimsa (Representaciones e Investigaciones Médicas) – sold 2016,Mexico
Leopoldo,Espinosa Abdalá,Former Executive President; Private Investments,Rimsa (Representaciones e Investigaciones Médicas) – sold 2016,Mexico
Carlos,FernÃ¡ndez Gonzalez,Vice Chairman & CEO,"Grupo Modelo, S.A.",Mexico
Jose Antonio,Fernandez C,CEO,Fomento Economico Mexicano SA de CV,Mexico
Enrique,Franco,Material Flow Engineer,Ford México,Mexico
Alejandro Federico,Gonzalez Davila,Chief Executive Officer,Primero Seguros,Mexico
Cynthia Helena,Grossman Fleishman,Board Member; Major Shareholder,Arca Continental,Mexico
Carlos,Hank Rhon,Chairman of the Board,Grupo Hermes,Mexico
Alfredo,Harp Helu,Honorary Chairman,Banco Nacional de México (Banamex),Mexico
Roberto,Hernandez Ramirez,Honorary Chairman,Banco Nacional de México (Banamex),Mexico
Richard,Hojel,Chairman of the Board / CEO,Frigus-Therme,Mexico
Ari,Kahan,President,"Kahan Automotriz, S.A. DE C.V.",Mexico
Andres,Lankenau,Chairman & CEO,GrupoElefante,Mexico
Germán,Larrea Mota Velasco,Executive President & Chairman of the Board,Grupo México,Mexico
David,Peñaloza Alanís,Chairman & Chief Executive Officer,Pinfra (Promotora y Operadora de Infraestructura),Mexico
Valentine,Perez,Co-founder,Monthly,Mexico
Fede,Ranero,CEO,Draiver and GP at Bridge,Mexico
Emilio,Romano,Managing Director,Bank of America Merrill Lynch,Mexico
Ricardo,Salinas Pliego,Founder & Chairman,Grupo Salinas,Mexico
Rene,Saul,CEO,Kapital,Mexico
Diego,Serebrisky,Founding Managing Partner,Dalus Capital.,Mexico
Jacobo,Shemaria,President,Mexel,Mexico
Carlos,Slim Helu,Honorary Chairman,América Móvil,Mexico
Nicolas Mariscal,Torroella,President,Marhnos,Mexico
Rufino,Vigil Gonzalez,Chairman,Industrias CH (Grupo Simec),Mexico
Arturo,Zapata,CEO,Corporación Zapata,Mexico
Hamdi,Akin,Founder & Chairman,Akfen Holding,Turkey
Semahat Sevim,Arsel,Board Member; Chair,Koç Holding / Vehbi Koç Foundation (VKV),Turkey
Mehmet Ali,Aydinlar,Founder & Chairman,Acıbadem Healthcare Group,Turkey
Sezai,Bacaksiz,Vice Chairman & Co-founder,Limak Holding,Turkey
Selçuk,Bayraktar,Chairman of the Board & CTO,Baykar,Turkey
Haluk,Bayraktar,CEO,Baykar,Turkey
Selim,Bora,Chairman,Summa International Construction Group,Turkey
Hakan,Bulgurlu,Chief Executive Officer,Beko,Turkey
Ahmet,Calik,Chairman of the Board,Çalık Holding,Turkey
Sefik Yilmaz,Dizdar,Co-owner / Partner,LC Waikiki (Taha Group),Turkey
Aydin,Dogan,Honorary Chairman & Founder,Doğan Holding,Turkey
Boyner Hanzade,Doğan,Vice Chairwoman,Doğan Holding,Turkey
Bulent,Eczacibasi,Chairman,Eczacıbaşı Holding,Turkey
Faruk,Eczacibasi,Vice Chairman,Eczacıbaşı Holding,Turkey
Ibrahim,Erdemoglu,Executive Chairman; Chairman,SASA Polyester / Erdemoğlu Holding,Turkey
Ali,Erdemoglu,Deputy Chairman of the Board (Co-owner),SASA Polyester,Turkey
Feridun,Gecgel,Chairman of the Board,Astor Enerji,Turkey
Erman,Ilicak,Honorary President (Founder),Rönesans Holding,Turkey
Stefano,Kaslowski,CEO,Organik Kimya,Turkey
Saban Cemil,Kazanci,Chairman; Chairman & CEO,Kazancı Holding / Aksa Enerji,Turkey
Ali Metin,Kazanci,Founder & Honorary Chairman,Kazancı Holding,Turkey
Ipek,Kirac,Chairwoman of the Board; also Board Member,Sirena Marine,Turkey
Mustafa Rahmi,Koc,Honorary Chairman,Koç Holding,Turkey
Ali,Koc,Businessman,Koc Family,Turkey
Mustafa,Kucuk,Largest Shareholder (former CEO),LC Waikiki (Taha Group),Turkey
Martin,Lau,President,Tencent,Turkey
Demet,Mutlu,Founder,Trendyol Group (DSM Group),Turkey
Nihat,Ozdemir,Founder & Honorary Chairman,Limak Holding,Turkey
Ipek,Ozilhan Ozkan,Vice President,PineBridge Investments,Turkey
Hüsnü,Özyegin,Chairman,Fiba Holding,Turkey
Ali,Sabanci,Chairman,Pegasus Airlines,Turkey
Suzan,Sabanci,Board Member,Sabancı Holding,Turkey
Vuslat Ali,Sabanci,Founder,Vuslat Foundation,Turkey
Ferit Faik,Sahenk,Chairman & CEO,Doğuş Holding,Turkey
Filiz,Sahenk,Leads Fashion & Tourism businesses; Shareholder,Doğuş Holding,Turkey
Deniz,Sahenk,Shareholder,Doğuş Holding,Turkey
Seckin,Tabak,Senior Director,Esas Private Equity,Turkey
Mehmet Sinan,Tara,Chairman of the Board,ENKA İnşaat ve Sanayi A.Ş.,Turkey
Mustafa Latif,Topbas,Co-founder & Major Shareholder (former Chairman & CEO),BİM,Turkey
Ahmed Afif,Topbas,Major Shareholder,BİM,Turkey
Kazim,Turker,Founder & Chairman,Türkerler Holding,Turkey
Murat,Ulker,Board Member; Chairman,Yıldız Holding / pladis / GODIVA,Turkey
Hamdi,Ulukaya,Founder & CEO,Chobani,Turkey
Murat,Vargi,Founder & Honorary Chairman; Co-founder,MV Holding / Turkcell,Turkey
Bedii Can,Yucaoglu,Director,MAP Yatırım,Turkey
Tara Family,,,Enka İnşaat ve Sanayi A.Ş.,Turkey
Adil ,Sani Konukoğlu,Chairman of the Board of Directors,Sanko Holdings,Turkey
Eldar,Abdurrazakov,Founder & CEO,Centras,Kazakhstan
Aidan,Akanov,Chief Executive Officer,Verny Capital,Kazakhstan
Arnur,Amirgaliyev,Partner,Huapion Sourcing Limited,Kazakhstan
Yessengali,Baimenov,Founder,QVM technology kazakhstan,Kazakhstan
Aida,Baimenova,Co-Owner,NBCgate,Kazakhstan
Armanzhan,Baitassov,Chairman,Board of Trustees at Alma University,Kazakhstan
Andrey (Evgeny),Dobrov,President,Fincraft Group,Kazakhstan
Peter,Foster,CEO,Global Foods,Kazakhstan
Dinmukhamet,Idrissov,Chairman,Supervisory Board of Kazakhstan Municipal Systems LLP,Kazakhstan
